03  INST_LOAD_TYPE
07  INST_LOAD_FP_TYPE
0B  INST_custom_0_TYPE
0F  INST_MISC_MEM_TYPE
13  INST_OP_IMM_TYPE
17  INST_AUIPC_TYPE
1B  INST_OP_IMM_32_TYPE
23  INST_STORE_TYPE
27  INST_STORE_FP_TYPE
2B  INST_custom_1_TYPE
2F  INST_AMO_TYPE
33  INST_OP_TYPE
37  INST_LUI_TYPE
3B  INST_OP_32_TYPE
43  INST_MADD_TYPE
47  INST_MSUB_TYPE
4B  INST_NMSUB_TYPE
4F  INST_NMADD_TYPE
53  INST_OP_FP_TYPE
57  INST_reserved_1_TYPE
5B  INST_custom_2_TYPE
63  INST_BRANCH_TYPE
67  INST_JALR_TYPE
6B  INST_reserved_2_TYPE
6F  INST_JAL_TYPE
73  INST_SYSTEM_TYPE
77  INST_reserved_3_TYPE
7B  INST_custom_3_TYPE
